agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
GOW,"Go Wellington",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
TZWA,"Tranzit Coachlines",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
PTXL,"Paraparaumu Taxis Ltd",http://www.paraparaumutaxis.co.nz/,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
KCTL,"Kapiti Coach Tours Limited",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
RUNC,"Runcimans Motors Ltd",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
RAIL,"Tranz Metro",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
AIRF,"Airport Flyer",https://www.metlink.org.nz/tickets-and-fares/airport/,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
EBYW,"East By West Ferry",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/ferry/
TRAN,"KiwiRail Scenic",http://www.kiwirailscenic.co.nz/,Pacific/Auckland,en,,
MADG,"Madge Coachlines Limited",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
NLDS,"Newlands Coach Services",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
CLSC,"Classic Coaches",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
VLYF,"Valley Flyer",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
MANA,"Mana Coach Services Ltd",http://www.metlink.org.nz,Pacific/Auckland,en,,http://www.metlink.org.nz/tickets-and-fares/
WCCL,"Wellington Cable Car",http://www.wellingtoncablecar.co.nz/,Pacific/Auckland,en,,http://www.wellingtoncablecar.co.nz/times-fares/

