service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
41[4],0,0,0,0,0,0,0,20160321,20161224
F-XHol,0,0,0,0,0,0,0,20160321,20161224
117,0,0,0,0,0,0,0,20160321,20161224
205[3],0,0,0,0,0,0,0,20160321,20161224
218[1],0,0,0,0,0,0,0,20160321,20161224
209[1],0,0,0,0,0,0,0,20160321,20161224
208[7],0,0,0,0,0,0,0,20160321,20161224
219[2],0,0,0,0,0,0,0,20160321,20161224
404[1],0,0,0,0,0,0,0,20160321,20161224
144[1],0,0,0,0,0,0,0,20160321,20161224
26,0,0,0,0,0,0,0,20160321,20161224
31[2],0,0,0,0,0,0,0,20160321,20161224
410,0,0,0,0,0,0,0,20160321,20161224
150[1],0,0,0,0,0,0,0,20160321,20161224
311[1],0,0,0,0,0,0,0,20160321,20161224
25[1],0,0,0,0,0,0,0,20160321,20161224
29[1],0,0,0,0,0,0,0,20160321,20161224
14[8],0,0,0,0,0,0,0,20160321,20161224
310[4],0,0,0,0,0,0,0,20160321,20161224
510,0,0,0,0,0,0,0,20160321,20161224
94[1],0,0,0,0,0,0,0,20160321,20161224
98[2],0,0,0,0,0,0,0,20160321,20161224
25[4],0,0,0,0,0,0,0,20160321,20161224
166,0,0,0,0,0,0,0,20160321,20161224
409,0,0,0,0,0,0,0,20160321,20161224
186,0,0,0,0,0,0,0,20160321,20161224
307[3],0,0,0,0,0,0,0,20160321,20161224
187,0,0,0,0,0,0,0,20160321,20161224
314[3],0,0,0,0,0,0,0,20160321,20161224
74,0,0,0,0,0,0,0,20160321,20161224
41[2],0,0,0,0,0,0,0,20160321,20161224
3[5],0,0,0,0,0,0,0,20160321,20161224
219[1],0,0,0,0,0,0,0,20160321,20161224
15[6],0,0,0,0,0,0,0,20160321,20161224
17[6],0,0,0,0,0,0,0,20160321,20161224
56,0,0,0,0,0,0,0,20160321,20161224
20[3],0,0,0,0,0,0,0,20160321,20161224
28[2],0,0,0,0,0,0,0,20160321,20161224
175[1],0,0,0,0,0,0,0,20160321,20161224
319[1],0,0,0,0,0,0,0,20160321,20161224
15,0,0,0,0,0,0,0,20160321,20161224
902,0,0,0,0,0,0,0,20160321,20161224
337,0,0,0,0,0,0,0,20160321,20161224
324[2],0,0,0,0,0,0,0,20160321,20161224
78[3],0,0,0,0,0,0,0,20160321,20161224
312,0,0,0,0,0,0,0,20160321,20161224
37,0,0,0,0,0,0,0,20160321,20161224
12[2],0,0,0,0,0,0,0,20160321,20161224
66[1],0,0,0,0,0,0,0,20160321,20161224
4[1],0,0,0,0,0,0,0,20160321,20161224
15[1],0,0,0,0,0,0,0,20160321,20161224
152,0,0,0,0,0,0,0,20160321,20161224
190[1],0,0,0,0,0,0,0,20160321,20161224
77[1],0,0,0,0,0,0,0,20160321,20161224
221,0,0,0,0,0,0,0,20160321,20161224
24[5],0,0,0,0,0,0,0,20160321,20161224
209[2],0,0,0,0,0,0,0,20160321,20161224
113,0,0,0,0,0,0,0,20160321,20161224
89[1],0,0,0,0,0,0,0,20160321,20161224
603[1],0,0,0,0,0,0,0,20160321,20161224
30[1],0,0,0,0,0,0,0,20160321,20161224
26[3],0,0,0,0,0,0,0,20160321,20161224
10[2],0,0,0,0,0,0,0,20160321,20161224
705[1],0,0,0,0,0,0,0,20160321,20161224
312[4],0,0,0,0,0,0,0,20160321,20161224
901,0,0,0,0,0,0,0,20160321,20161224
118,0,0,0,0,0,0,0,20160321,20161224
130,0,0,0,0,0,0,0,20160321,20161224
197,0,0,0,0,0,0,0,20160321,20161224
21[4],0,0,0,0,0,0,0,20160321,20161224
30,0,0,0,0,0,0,0,20160321,20161224
17,0,0,0,0,0,0,0,20160321,20161224
713[1],0,0,0,0,0,0,0,20160321,20161224
323[1],0,0,0,0,0,0,0,20160321,20161224
8[6],0,0,0,0,0,0,0,20160321,20161224
171,0,0,0,0,0,0,0,20160321,20161224
32[2],0,0,0,0,0,0,0,20160321,20161224
4[4],0,0,0,0,0,0,0,20160321,20161224
338,0,0,0,0,0,0,0,20160321,20161224
9[4],0,0,0,0,0,0,0,20160321,20161224
4[2],0,0,0,0,0,0,0,20160321,20161224
16[6],0,0,0,0,0,0,0,20160321,20161224
216,0,0,0,0,0,0,0,20160321,20161224
708[1],0,0,0,0,0,0,0,20160321,20161224
7[1],0,0,0,0,0,0,0,20160321,20161224
702,0,0,0,0,0,0,0,20160321,20161224
72,0,0,0,0,0,0,0,20160321,20161224
605[1],0,0,0,0,0,0,0,20160321,20161224
903[2],0,0,0,0,0,0,0,20160321,20161224
507[1],0,0,0,0,0,0,0,20160321,20161224
339,0,0,0,0,0,0,0,20160321,20161224
78[1],0,0,0,0,0,0,0,20160321,20161224
165,0,0,0,0,0,0,0,20160321,20161224
37[3],0,0,0,0,0,0,0,20160321,20161224
306[5],0,0,0,0,0,0,0,20160321,20161224
912,0,0,0,0,0,0,0,20160321,20161224
301[9],0,0,0,0,0,0,0,20160321,20161224
34[4],0,0,0,0,0,0,0,20160321,20161224
24[9],0,0,0,0,0,0,0,20160321,20161224
87[1],0,0,0,0,0,0,0,20160321,20161224
177,0,0,0,0,0,0,0,20160321,20161224
51[1],0,0,0,0,0,0,0,20160321,20161224
900[2],0,0,0,0,0,0,0,20160321,20161224
184,0,0,0,0,0,0,0,20160321,20161224
70[1],0,0,0,0,0,0,0,20160321,20161224
313[2],0,0,0,0,0,0,0,20160321,20161224
906,0,0,0,0,0,0,0,20160321,20161224
49,0,0,0,0,0,0,0,20160321,20161224
SaSu+Hol,0,0,0,0,0,0,0,20160321,20161224
54[1],0,0,0,0,0,0,0,20160321,20161224
160[1],0,0,0,0,0,0,0,20160321,20161224
707,0,0,0,0,0,0,0,20160321,20161224
57[1],0,0,0,0,0,0,0,20160321,20161224
160,0,0,0,0,0,0,0,20160321,20161224
37[9],0,0,0,0,0,0,0,20160321,20161224
602[1],0,0,0,0,0,0,0,20160321,20161224
505[2],0,0,0,0,0,0,0,20160321,20161224
503[2],0,0,0,0,0,0,0,20160321,20161224
37[6],0,0,0,0,0,0,0,20160321,20161224
53[1],0,0,0,0,0,0,0,20160321,20161224
501[3],0,0,0,0,0,0,0,20160321,20161224
8[2],0,0,0,0,0,0,0,20160321,20161224
704[3],0,0,0,0,0,0,0,20160321,20161224
8[1],0,0,0,0,0,0,0,20160321,20161224
30[2],0,0,0,0,0,0,0,20160321,20161224
32[3],0,0,0,0,0,0,0,20160321,20161224
137[1],0,0,0,0,0,0,0,20160321,20161224
133[1],0,0,0,0,0,0,0,20160321,20161224
4[6],0,0,0,0,0,0,0,20160321,20161224
109[1],0,0,0,0,0,0,0,20160321,20161224
411,0,0,0,0,0,0,0,20160321,20161224
121,0,0,0,0,0,0,0,20160321,20161224
602[2],0,0,0,0,0,0,0,20160321,20161224
604[1],0,0,0,0,0,0,0,20160321,20161224
46,0,0,0,0,0,0,0,20160321,20161224
324[1],0,0,0,0,0,0,0,20160321,20161224
307[4],0,0,0,0,0,0,0,20160321,20161224
414,0,0,0,0,0,0,0,20160321,20161224
211[2],0,0,0,0,0,0,0,20160321,20161224
167,0,0,0,0,0,0,0,20160321,20161224
23,0,0,0,0,0,0,0,20160321,20161224
201[5],0,0,0,0,0,0,0,20160321,20161224
204,0,0,0,0,0,0,0,20160321,20161224
35[5],0,0,0,0,0,0,0,20160321,20161224
708[2],0,0,0,0,0,0,0,20160321,20161224
10[4],0,0,0,0,0,0,0,20160321,20161224
207[3],0,0,0,0,0,0,0,20160321,20161224
305,0,0,0,0,0,0,0,20160321,20161224
173[1],0,0,0,0,0,0,0,20160321,20161224
65,0,0,0,0,0,0,0,20160321,20161224
203[1],0,0,0,0,0,0,0,20160321,20161224
206[4],0,0,0,0,0,0,0,20160321,20161224
305[3],0,0,0,0,0,0,0,20160321,20161224
710[2],0,0,0,0,0,0,0,20160321,20161224
94[3],0,0,0,0,0,0,0,20160321,20161224
15[3],0,0,0,0,0,0,0,20160321,20161224
39[1],0,0,0,0,0,0,0,20160321,20161224
24[8],0,0,0,0,0,0,0,20160321,20161224
55[1],0,0,0,0,0,0,0,20160321,20161224
303,0,0,0,0,0,0,0,20160321,20161224
506[2],0,0,0,0,0,0,0,20160321,20161224
326,0,0,0,0,0,0,0,20160321,20161224
115,0,0,0,0,0,0,0,20160321,20161224
40[2],0,0,0,0,0,0,0,20160321,20161224
201[3],0,0,0,0,0,0,0,20160321,20161224
13[6],0,0,0,0,0,0,0,20160321,20161224
132,0,0,0,0,0,0,0,20160321,20161224
45,0,0,0,0,0,0,0,20160321,20161224
403[3],0,0,0,0,0,0,0,20160321,20161224
307[5],0,0,0,0,0,0,0,20160321,20161224
40,0,0,0,0,0,0,0,20160321,20161224
202[1],0,0,0,0,0,0,0,20160321,20161224
44[2],0,0,0,0,0,0,0,20160321,20161224
11[7],0,0,0,0,0,0,0,20160321,20161224
402[3],0,0,0,0,0,0,0,20160321,20161224
301[4],0,0,0,0,0,0,0,20160321,20161224
403[1],0,0,0,0,0,0,0,20160321,20161224
207[5],0,0,0,0,0,0,0,20160321,20161224
207,0,0,0,0,0,0,0,20160321,20161224
89,0,0,0,0,0,0,0,20160321,20161224
911,0,0,0,0,0,0,0,20160321,20161224
28[1],0,0,0,0,0,0,0,20160321,20161224
908[1],0,0,0,0,0,0,0,20160321,20161224
MTuWThF-XSch,0,0,0,0,0,0,0,20160321,20161224
217[2],0,0,0,0,0,0,0,20160321,20161224
2,0,0,0,0,0,0,0,20160321,20161224
208[4],0,0,0,0,0,0,0,20160321,20161224
50[2],0,0,0,0,0,0,0,20160321,20161224
38[3],0,0,0,0,0,0,0,20160321,20161224
88,0,0,0,0,0,0,0,20160321,20161224
706[2],0,0,0,0,0,0,0,20160321,20161224
93,0,0,0,0,0,0,0,20160321,20161224
33[4],0,0,0,0,0,0,0,20160321,20161224
401[1],0,0,0,0,0,0,0,20160321,20161224
17[5],0,0,0,0,0,0,0,20160321,20161224
205[4],0,0,0,0,0,0,0,20160321,20161224
317[2],0,0,0,0,0,0,0,20160321,20161224
24,0,0,0,0,0,0,0,20160321,20161224
704[2],0,0,0,0,0,0,0,20160321,20161224
198,0,0,0,0,0,0,0,20160321,20161224
305[7],0,0,0,0,0,0,0,20160321,20161224
87,0,0,0,0,0,0,0,20160321,20161224
714,0,0,0,0,0,0,0,20160321,20161224
413,0,0,0,0,0,0,0,20160321,20161224
333,0,0,0,0,0,0,0,20160321,20161224
182,0,0,0,0,0,0,0,20160321,20161224
96[3],0,0,0,0,0,0,0,20160321,20161224
610,0,0,0,0,0,0,0,20160321,20161224
701[2],0,0,0,0,0,0,0,20160321,20161224
82,0,0,0,0,0,0,0,20160321,20161224
52[2],0,0,0,0,0,0,0,20160321,20161224
502[1],0,0,0,0,0,0,0,20160321,20161224
301[3],0,0,0,0,0,0,0,20160321,20161224
704,0,0,0,0,0,0,0,20160321,20161224
