stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
7088,7088, Ira Street at Devonshire Road (near 43),IraSt at Devonshire,-41.3216309,174.8200999,3,,0,,Pacific/Auckland
1843,1843, High Street Masterton (near 110),HighSt at 110,-40.96066617,175.6371344,14,,0,,Pacific/Auckland
5496,5496, Thorndon Quay at Davis Street,ThorndonQy at Davis,-41.27428288,174.7836823,1,,0,,Pacific/Auckland
1001,1001, Paraparaumu Station - Stop B,Paraparaumu Stn-B,-40.91662309,175.0066524,9,,0,,Pacific/Auckland
1726,1726, Otaki College - Mill Road,Otaki College,-40.75788989,175.1525505,13,,0,,Pacific/Auckland
2162,2162, Warspite Avenue at Castor Cres (near 50),WarspiteAve at 50,-41.13925298,174.8694972,6,,0,,Pacific/Auckland
8065,8065, Dowse Drive at Miromiro Road (near 192),DowseDr at Miromiro,-41.2008086,174.8838898,4,,0,,Pacific/Auckland
7238,7238, Darlington Road at Puriri Street (near 26),DarlingtonRd at 26,-41.31184318,174.8238893,3,,0,,Pacific/Auckland
1196,1196, Kapiti Coast District Council (Opposite),Kapiti Council,-40.91604863,175.0034289,9,,0,,Pacific/Auckland
7240,7240, Darlington Road at Camperdown Rd (near 104),DralingtonRd at 104,-41.30738983,174.8257139,3,,0,,Pacific/Auckland
8269,8269, Waiwhetu Road at Durham Crescent (near 344),WaiwhetuRd at Durham,-41.20789691,174.9344254,5,,0,,Pacific/Auckland
WELL,WELL, Wellington Station,Wellington Stn,-41.27896857,174.7805617,1,,0,,Pacific/Auckland
1556,1556, Tutere Street at Hemara Street,TutereSt at Hemara,-40.86109355,175.0245512,10,,0,,Pacific/Auckland
7163,7163, Houghton Bay - The Esplanade,TheEsplanade at 92,-41.34191307,174.7845709,3,,0,,Pacific/Auckland
7030,7030, Caledonia Street at Calabar Road (near 10),CaledoniaSt at Calabar,-41.3209751,174.8102845,3,,0,,Pacific/Auckland
9569,9569, Fergusson Drive at Merton St,FergussonDr at 521,-41.1323804,175.0408538,7,,0,,Pacific/Auckland
4312,4312, Tinakori Road at St Mary Street (near 360),TinakoriRd at StMarySt,-41.27929047,174.7685352,1,,0,,Pacific/Auckland
1610,1610, Reeves Street (near 7),ReevesSt at 7,-40.85317077,175.037237,10,,0,,Pacific/Auckland
5499,5499, Thorndon Quay at Wellington Station,ThorndonQy at Station,-41.27811791,174.7803242,1,,0,,Pacific/Auckland
2812,2812, Te Hiko Street (near 8),TeHikoSt-8,-41.12413496,174.8349999,5,,0,,Pacific/Auckland
7145,7145, Murchison Street at Domanski Cres (Opposite),Murchison at Domanski,-41.33544039,174.7603738,3,,0,,Pacific/Auckland
3927,3927, Raiha Street at Broken Hill Road,RaihiSt at BrokenHill,-41.14663873,174.8302651,5,,0,,Pacific/Auckland
6927,6927, Hornsey Road at Auckland Terrace (near 25),HornseyRd at Auckland,-41.32592897,174.7872412,3,,0,,Pacific/Auckland
1504,1504, Parata Street at Sylvan Avenue (near 54),Parata at Sylvan,-40.87176725,175.0677138,10,,0,,Pacific/Auckland
1806,1806, SH53 at Camp Road (hail and ride),SH53 at CampRd,-41.13462742,175.3526989,11,,0,,Pacific/Auckland
9964,9964, Wellington Road at Dublin Street (near 127),WellingtonRd at Dublin,-41.24683411,174.9435696,5,,0,,Pacific/Auckland
5454,5454, Bombay Street at Tarikaka Street,BombaySt at Tarikaka,-41.24952595,174.7811851,3,,0,,Pacific/Auckland
9984,9984, Fitzherbert Road at Gospel Chapel (near 24),FitzherbertRd at 24,-41.26018956,174.9474272,5,,0,,Pacific/Auckland
6041,6041, Dundas Street at Monro Street (near 55),DundasSt at Monro,-41.32312724,174.833643,3,,0,,Pacific/Auckland
9954,9954, Mohaka Street (near 17),MohakaSt at 17,-41.24998378,174.9330411,5,,0,,Pacific/Auckland
6140,6140, Frobisher Street (near 35),FrobisherSt at 35,-41.34179991,174.7626964,3,,0,,Pacific/Auckland
8283,8283, Rata Street at Rimu Street (near 117),RataSt at Rimu,-41.20050293,174.9615174,5,,0,,Pacific/Auckland
2754,2754, James Cook Drive at Discovery Drive (Park),JamesCook at Discovery,-41.11620506,174.9018349,6,,0,,Pacific/Auckland
9215,9215, Major Drive at Waipounamu Drive (near 150),MajorDrv at Waipounamu,-41.17836175,174.9339135,5,,0,,Pacific/Auckland
8462,8462, Silverstream Station - Fergusson Dr,SilverstreamStation,-41.14685583,175.0116322,6,,0,,Pacific/Auckland
5944,5944, Moana Road at Disley Street (near 67),MoanaRd at Disley,-41.29055673,174.7563002,2,,0,,Pacific/Auckland
5331,5331, Karori Park Pavilion - Karori Road (Opposite),Karori Pk Pavilion,-41.28718564,174.7251662,3,,0,,Pacific/Auckland
8349,8349, Park Road at Redvers Drive (near 66),ParkRd at Redvers,-41.19075493,174.9199695,5,,0,,Pacific/Auckland
6270,6270, Awa Road at Seatoun Heights Rd,Worser Bay School,-41.31224788,174.8267676,3,,0,,Pacific/Auckland
4450,4450, Ottawa Road at Colway Street (near 54),OttawaRd at Colway,-41.24839194,174.7746236,3,,0,,Pacific/Auckland
3018,3018, Branscombe Street at Ironside Road,Branscombe at Ironside,-41.21746273,174.8000307,3,,0,,Pacific/Auckland
1374,1374, Alexander Road at Karaka Grove (near 16),AlexanderRd at Karaka,-40.91686807,174.9820797,9,,0,,Pacific/Auckland
8418,8418, Pempsey Street at Heretaunga Sq (near 32),Pempsey at 32,-41.14608181,175.0198304,6,,0,,Pacific/Auckland
1112,1112, Mazengarb Road at Realm Drive,Mazengarb at Realm,-40.89644504,175.010467,9,,0,,Pacific/Auckland
5305,5305, Gipps Street at Shirley Street (near 3),GippsSt at Shirley,-41.28755081,174.7466662,3,,0,,Pacific/Auckland
9838,9838, Point Howard,Point Howard,-41.25296407,174.9055585,5,,0,,Pacific/Auckland
3804,3804, Haumia Street at Fraser Avenue,HaumiaSt at Fraser,-41.2313583,174.80423,3,,0,,Pacific/Auckland
6541,6541, Evans Bay Parade near Little Karaka Bay,Evans Bay Pde near Little Karaka Bay,-41.28991939,174.803335,2,,0,,Pacific/Auckland
2836,2836, Dimock Street (near 141),Dimock at 141,-41.09915275,174.8425332,6,,0,,Pacific/Auckland
1306,1306, Raumati Road at Matai Road (near 68),RaumatiRd at Matai,-40.92133895,174.9892197,9,,0,,Pacific/Auckland
9146,9146, Wainui Rd at Our Lady Of The Rosary (near 11),WainuiRd at 11,-41.2251551,174.9150107,4,,0,,Pacific/Auckland
2310,2310, Champion Street at Gloucester St (near 179),ChampionSt at 179,-41.13898936,174.8635324,5,,0,,Pacific/Auckland
1362,1362, Wharemauku Road (near 54),WharemaukuRd at 54,-40.90432504,174.9781433,9,,0,,Pacific/Auckland
3244,3244, Chorley Grove at Hawtrey Terrace,ChorleyGr at Hawtree,-41.21453712,174.8085389,3,,0,,Pacific/Auckland
6269,6269, Nevay Road (near 18),NevayRd at 18,-41.31060266,174.8282746,3,,0,,Pacific/Auckland
2738,2738, Whitby - Navigation Drive,Whitby-NavigationDr,-41.1107356,174.9112045,6,,0,,Pacific/Auckland
4425,4425, Mandalay Terrace (near 24),MandalayTce at 24,-41.24750614,174.8026454,3,,0,,Pacific/Auckland
4125,4125, Wadestown Road at Lytton Street (near 158),WadestownRd at Lytton,-41.2615297,174.7696077,2,,0,,Pacific/Auckland
3825,3825, Burma Road near Haumia Street (Raroa Intermediate),Burma Rd near Haumia St,-41.2297734,174.799941,3,,0,,Pacific/Auckland
7066,7066, Karaka Bay Road (Opposite 275),Karaka Bay at 275,-41.31039222,174.8301801,3,,0,,Pacific/Auckland
3502,3502, Helston Road (near 83),HelstonRd at 83,-41.21878747,174.8131891,3,,0,,Pacific/Auckland
1328,1328, Teoti Street at Tahi Street (near 40),TeotiSt at Tahi,-40.90276602,174.9797589,9,,0,,Pacific/Auckland
7098,7098, Kekerenga Street at Ahuriri Street (near 2),KekerengaSt at Ahuriri,-41.33619019,174.8164421,3,,0,,Pacific/Auckland
6141,6141, Frobisher Street (near 53),FrobisherSt at 53,-41.34052845,174.7633791,3,,0,,Pacific/Auckland
2524,2524, Oak Avenue (near 14),OakAve at 14,-41.10416357,174.8781471,6,,0,,Pacific/Auckland
6043,6043, Inglis Street at Burnham Street (near 91),InglisSt at Burnham,-41.32604247,174.831574,3,,0,,Pacific/Auckland
7028,7028, Rongotai Road at Salek Street (near 168),RongotaiRd at Salek,-41.31915122,174.8010692,3,,0,,Pacific/Auckland
8529,8529, Miro Street (near 85),MiroSt at 85,-41.13387397,175.0480482,7,,0,,Pacific/Auckland
2830,2830, Downes Street at Dimock Street (near 4),DownesSt at Dimock,-41.10587838,174.8444946,6,,0,,Pacific/Auckland
9069,9069, Pokohiwi Road (near 29),PokohiwiRd at 29,-41.20334136,174.888733,4,,0,,Pacific/Auckland
6290,6290, Tannadyce Street (near 86),TannadyceSt at 86,-41.32774676,174.8263261,3,,0,,Pacific/Auckland
5117,5117, Grosvenor Terrace at Orchard Street,Grosvenor at Orchard,-41.26695547,174.7799014,2,,0,,Pacific/Auckland
4916,4916, Upland Road at Glasgow Street (near 38),UplandRd at Glasgow,-41.28743944,174.7657699,2,,0,,Pacific/Auckland
1720,1720, Freemans Road at Rahui Road,FreemansRd at RahuiRd,-40.76552135,175.1683167,13,,0,,Pacific/Auckland
3034,3034, Truscott Avenue at Fairburn Grove,TruscottAv at Fairburn,-41.2264012,174.7959067,3,,0,,Pacific/Auckland
4392,4392, Verviers Street at Kano Street (near 37),VerviersSt at kano,-41.28997496,174.7412375,3,,0,,Pacific/Auckland
1332,1332, Kapiti Coast Airport (near 30 Toru Road),Airport at ToruRoad,-40.89929798,174.9823859,9,,0,,Pacific/Auckland
1104,1104, Arawhata Road at Greenwood Place (near 7),ArawhataRd at 7,-40.90976519,175.0021706,9,,0,,Pacific/Auckland
9178,9178, Bell Road at Gracefield School (near 18),BellRd at 18,-41.23200321,174.9148526,4,,0,,Pacific/Auckland
5447,5447, Kenya Street (near 52),KenyaSt at 52,-41.25447575,174.7714463,3,,0,,Pacific/Auckland
1502,1502, Parata Street at Our Lady of Fatima (Opposite),ParataSt at 28,-40.87350325,175.0663439,10,,0,,Pacific/Auckland
4932,4932, Mairangi Road at Warwick Street (near 135),MairangiRd at 135,-41.26744064,174.7659471,2,,0,,Pacific/Auckland
8997,8997, Roberts Street at Grey Street,RobertsSt at GreySt,-41.21878454,175.4504263,13,,0,,Pacific/Auckland
9909,9909, Main Road at Stanley Street (near 93),MainRd at Stanley,-41.26910117,174.9530643,5,,0,,Pacific/Auckland
7123,7123, Luxford Street at Rintoul Street (near 2),LuxfordSt at Rintoul,-41.31986465,174.7775174,2,,0,,Pacific/Auckland
4506,4506, Reading and North Street,Reading-NorthSt,-41.07590833,175.4685577,12,,0,,Pacific/Auckland
3510,3510, Helston Road near 201,HelstonRd-201,-41.21763562,174.8176902,3,,0,,Pacific/Auckland
2800,2800, Prosser Street (opposite 22),Elsdon - ProsserSt at 22,-41.13372029,174.832646,5,,0,,Pacific/Auckland
6327,6327, Onepu Road at Coutts Street,OnepuRd at Coutts,-41.31993183,174.7957251,3,,0,,Pacific/Auckland
9130,9130, Lower Hutt - Queensgate,Lower Hutt-C,-41.21037055,174.904918,4,,0,,Pacific/Auckland
7039,7039, Ferry Street at Ludlam Street (near 49),FerrySt at Ludlam,-41.32266118,174.8289702,3,,0,,Pacific/Auckland
1576,1576, Ngarara Road at Horopito (near 4),NgararaRd at Horopito,-40.87826721,175.0517764,10,,0,,Pacific/Auckland
9001,9001, Petone Station- Stop A,Petone Stn-A,-41.2223046,174.8692367,4,,0,,Pacific/Auckland
2775,2775, Aotea Drive (near 27),AoteaDr at 27,-41.12515806,174.8660172,6,,0,,Pacific/Auckland
1942,1942, High Street Masterton (near 125),HighSt at 125,-40.96145668,175.6340767,14,,0,,Pacific/Auckland
3838,3838, Bannister Avenue (Hail and Ride),Bannister Avenue,-41.22912748,174.7971293,3,,0,,Pacific/Auckland
6926,6926, Sutherland Road at Rodrigo Road,Sutherland at Rodrigo,-41.32256804,174.7890611,2/3,,0,,Pacific/Auckland
1968,1968, Vivian Street (near 18),VivianSt at 18,-40.96324591,175.6385442,14,,0,,Pacific/Auckland
4433,4433, Onslow Arms - Onslow Road,OnslowArms-OnslowRd,-41.25311065,174.8013673,3,,0,,Pacific/Auckland
7140,7140, Frobisher Street (near 24),FrobisherSt at 24,-41.34216005,174.7627061,3,,0,,Pacific/Auckland
8249,8249, High Street at Burcham Street (near 1112),HighSt at Burcham,-41.18656216,174.9550203,5,,0,,Pacific/Auckland
8281,8281, Rata Street (near 241),RataSt at 241,-41.20264576,174.9679022,5,,0,,Pacific/Auckland
6237,6237, Rotherham Terrace at Darlington Road (near 81),RotherhamTce at 81,-41.31270032,174.822935,3,,0,,Pacific/Auckland
